ArrayBuffer(cold, gradable, gradable)
ArrayBuffer(full, notgradable, gradable)
ArrayBuffer(fundamental, notgradable, gradable)
ArrayBuffer(generous, gradable, gradable)
ArrayBuffer(good, gradable, gradable)
ArrayBuffer(grand, notgradable, gradable)
ArrayBuffer(great, gradable, gradable)
ArrayBuffer(guilty, notgradable, gradable)
ArrayBuffer(happy, gradable, gradable)
ArrayBuffer(hard, gradable, gradable)
ArrayBuffer(healthy, gradable, gradable)
ArrayBuffer(hefty, notgradable, gradable)
ArrayBuffer(high, gradable, gradable)
ArrayBuffer(high-tech, notgradable, gradable)
ArrayBuffer(historic, notgradable, gradable)
ArrayBuffer(hot, gradable, gradable)
ArrayBuffer(huge, notgradable, gradable)
ArrayBuffer(immediate, notgradable, gradable)
ArrayBuffer(important, gradable, gradable)
ArrayBuffer(impossible, notgradable, gradable)
ArrayBuffer(impressive, gradable, gradable)
ArrayBuffer(improper, notgradable, gradable)
ArrayBuffer(inadequate, notgradable, gradable)
ArrayBuffer(independent, notgradable, gradable)
ArrayBuffer(inflationary, notgradable, gradable)
ArrayBuffer(influential, notgradable, gradable)
ArrayBuffer(informal, notgradable, gradable)
ArrayBuffer(intense, gradable, gradable)
ArrayBuffer(interesting, gradable, gradable)
ArrayBuffer(large, gradable, gradable)
ArrayBuffer(late, gradable, gradable)
ArrayBuffer(legitimate, notgradable, gradable)
ArrayBuffer(lengthy, notgradable, gradable)
ArrayBuffer(liberal, gradable, gradable)
ArrayBuffer(light, gradable, gradable)
ArrayBuffer(like, notgradable, gradable)
ArrayBuffer(likely, gradable, gradable)
ArrayBuffer(little, gradable, gradable)
ArrayBuffer(long, gradable, gradable)
ArrayBuffer(long-term, notgradable, gradable)
ArrayBuffer(low, gradable, gradable)
ArrayBuffer(lucrative, notgradable, gradable)
ArrayBuffer(major, notgradable, gradable)
ArrayBuffer(many, gradable, gradable)
ArrayBuffer(minor, gradable, gradable)
ArrayBuffer(moderate, notgradable, gradable)
ArrayBuffer(modest, gradable, gradable)
ArrayBuffer(moral, notgradable, gradable)
ArrayBuffer(narrow, gradable, gradable)
ArrayBuffer(near, notgradable, gradable)
ArrayBuffer(necessary, notgradable, gradable)
ArrayBuffer(negative, gradable, gradable)
ArrayBuffer(nervous, gradable, gradable)
ArrayBuffer(new, notgradable, gradable)
ArrayBuffer(nice, gradable, gradable)
ArrayBuffer(normal, notgradable, gradable)
ArrayBuffer(numerous, notgradable, gradable)
ArrayBuffer(obvious, gradable, gradable)
ArrayBuffer(old, gradable, gradable)
ArrayBuffer(open, notgradable, gradable)
ArrayBuffer(optimistic, gradable, gradable)
ArrayBuffer(ordinary, notgradable, gradable)
ArrayBuffer(original, notgradable, gradable)
ArrayBuffer(outstanding, notgradable, gradable)
ArrayBuffer(perfect, notgradable, gradable)
ArrayBuffer(poor, gradable, gradable)
ArrayBuffer(popular, gradable, gradable)
ArrayBuffer(positive, gradable, gradable)
ArrayBuffer(powerful, gradable, gradable)
ArrayBuffer(practical, notgradable, gradable)
ArrayBuffer(precious, gradable, gradable)
ArrayBuffer(preliminary, notgradable, gradable)
ArrayBuffer(professional, notgradable, gradable)
ArrayBuffer(profitable, gradable, gradable)
ArrayBuffer(prominent, notgradable, gradable)
ArrayBuffer(promising, gradable, gradable)
ArrayBuffer(proper, notgradable, gradable)
ArrayBuffer(protectionist, notgradable, gradable)
ArrayBuffer(quick, gradable, gradable)
ArrayBuffer(quiet, gradable, gradable)
ArrayBuffer(radical, notgradable, gradable)
ArrayBuffer(rapid, notgradable, gradable)
ArrayBuffer(rare, gradable, gradable)
ArrayBuffer(reasonable, gradable, gradable)
ArrayBuffer(recent, notgradable, gradable)
ArrayBuffer(red, notgradable, gradable)
ArrayBuffer(regular, notgradable, gradable)
ArrayBuffer(relative, notgradable, gradable)
ArrayBuffer(reluctant, gradable, gradable)
ArrayBuffer(remarkable, gradable, gradable)
ArrayBuffer(responsible, notgradable, gradable)
ArrayBuffer(rich, gradable, gradable)
ArrayBuffer(risky, gradable, gradable)
ArrayBuffer(routine, notgradable, gradable)
ArrayBuffer(rural, notgradable, gradable)
ArrayBuffer(safe, gradable, gradable)
ArrayBuffer(secret, notgradable, gradable)
ArrayBuffer(senior, notgradable, gradable)
ArrayBuffer(sensitive, gradable, gradable)
ArrayBuffer(serious, gradable, gradable)
ArrayBuffer(severe, gradable, gradable)
ArrayBuffer(sharp, gradable, gradable)
ArrayBuffer(short, gradable, gradable)
ArrayBuffer(short-term, notgradable, gradable)
ArrayBuffer(significant, gradable, gradable)
ArrayBuffer(similar, notgradable, gradable)
ArrayBuffer(sizable, notgradable, gradable)
ArrayBuffer(skeptical, gradable, gradable)
ArrayBuffer(slight, gradable, gradable)
ArrayBuffer(slow, gradable, gradable)
ArrayBuffer(sluggish, gradable, gradable)
ArrayBuffer(small, gradable, gradable)
ArrayBuffer(soft, gradable, gradable)
ArrayBuffer(solid, gradable, gradable)
ArrayBuffer(sophisticated, gradable, gradable)
ArrayBuffer(sound, gradable, gradable)
ArrayBuffer(speculative, notgradable, gradable)
ArrayBuffer(stable, gradable, gradable)
ArrayBuffer(steady, notgradable, gradable)
ArrayBuffer(steep, gradable, gradable)
ArrayBuffer(striking, gradable, gradable)
ArrayBuffer(strong, gradable, gradable)
ArrayBuffer(substantial, notgradable, gradable)
ArrayBuffer(successful, gradable, gradable)
ArrayBuffer(sudden, notgradable, gradable)
ArrayBuffer(sure, gradable, gradable)
ArrayBuffer(surprising, gradable, gradable)
ArrayBuffer(thin, gradable, gradable)
ArrayBuffer(tight, gradable, gradable)
ArrayBuffer(tiny, notgradable, gradable)
ArrayBuffer(tough, gradable, gradable)
ArrayBuffer(traditional, notgradable, gradable)
ArrayBuffer(true, gradable, gradable)
ArrayBuffer(typical, notgradable, gradable)
ArrayBuffer(uncertain, gradable, gradable)
ArrayBuffer(unclear, gradable, gradable)
ArrayBuffer(unexpected, notgradable, gradable)
ArrayBuffer(unfair, gradable, gradable)
ArrayBuffer(unlikely, gradable, gradable)
ArrayBuffer(unsuccessful, notgradable, gradable)
ArrayBuffer(unusual, gradable, gradable)
ArrayBuffer(useful, gradable, gradable)
ArrayBuffer(usual, notgradable, gradable)
ArrayBuffer(valuable, gradable, gradable)
ArrayBuffer(vital, notgradable, gradable)
ArrayBuffer(volatile, gradable, gradable)
ArrayBuffer(vulnerable, gradable, gradable)
ArrayBuffer(weak, gradable, gradable)
ArrayBuffer(wealthy, notgradable, gradable)
ArrayBuffer(white, notgradable, gradable)
ArrayBuffer(wide, gradable, gradable)
ArrayBuffer(widespread, notgradable, gradable)
ArrayBuffer(willing, notgradable, gradable)
ArrayBuffer(worth, notgradable, gradable)
ArrayBuffer(wrong, gradable, gradable)
ArrayBuffer(young, gradable, gradable)
ArrayBuffer(able, notgradable, notgradable)
ArrayBuffer(academic, notgradable, notgradable)
ArrayBuffer(actual, notgradable, notgradable)
ArrayBuffer(additional, notgradable, notgradable)
ArrayBuffer(adequate, notgradable, notgradable)
ArrayBuffer(administrative, notgradable, notgradable)
ArrayBuffer(advisory, notgradable, notgradable)
ArrayBuffer(after-tax, notgradable, notgradable)
ArrayBuffer(agricultural, notgradable, notgradable)
ArrayBuffer(alleged, notgradable, notgradable)
ArrayBuffer(alternative, notgradable, notgradable)
ArrayBuffer(annual, notgradable, notgradable)
ArrayBuffer(antitrust, notgradable, notgradable)
ArrayBuffer(assistant, notgradable, notgradable)
ArrayBuffer(associate, notgradable, notgradable)
ArrayBuffer(australian, notgradable, notgradable)
ArrayBuffer(automatic, notgradable, notgradable)
ArrayBuffer(automotive, notgradable, notgradable)
ArrayBuffer(back, notgradable, notgradable)
ArrayBuffer(black, notgradable, notgradable)
ArrayBuffer(blue, notgradable, notgradable)
ArrayBuffer(blue-chip, notgradable, notgradable)
ArrayBuffer(certain, notgradable, notgradable)
ArrayBuffer(chemical, notgradable, notgradable)
ArrayBuffer(chief, notgradable, notgradable)
ArrayBuffer(civil, notgradable, notgradable)
ArrayBuffer(civilian, notgradable, notgradable)
ArrayBuffer(clinical, notgradable, notgradable)
ArrayBuffer(commercial, notgradable, notgradable)
ArrayBuffer(comparable, notgradable, notgradable)
ArrayBuffer(complete, notgradable, notgradable)
ArrayBuffer(composite, notgradable, notgradable)
ArrayBuffer(confidential, notgradable, notgradable)
ArrayBuffer(congressional, notgradable, notgradable)
ArrayBuffer(consecutive, notgradable, notgradable)
ArrayBuffer(considerable, notgradable, notgradable)
ArrayBuffer(constitutional, notgradable, notgradable)
ArrayBuffer(convertible, notgradable, notgradable)
ArrayBuffer(corporate, notgradable, notgradable)
ArrayBuffer(correct, notgradable, notgradable)
ArrayBuffer(cost-cutting, notgradable, notgradable)
ArrayBuffer(covert, notgradable, notgradable)
ArrayBuffer(criminal, notgradable, notgradable)
ArrayBuffer(cultural, notgradable, notgradable)
ArrayBuffer(cumulative, notgradable, notgradable)
ArrayBuffer(current, notgradable, notgradable)
ArrayBuffer(daily, notgradable, notgradable)
ArrayBuffer(dead, notgradable, notgradable)
ArrayBuffer(definitive, notgradable, notgradable)
ArrayBuffer(deputy, notgradable, notgradable)
ArrayBuffer(diplomatic, notgradable, notgradable)
ArrayBuffer(domestic, notgradable, notgradable)
ArrayBuffer(double, notgradable, notgradable)
ArrayBuffer(due, notgradable, notgradable)
ArrayBuffer(economic, notgradable, notgradable)
ArrayBuffer(educational, notgradable, notgradable)
ArrayBuffer(elderly, notgradable, notgradable)
ArrayBuffer(electric, notgradable, notgradable)
ArrayBuffer(electrical, notgradable, notgradable)
ArrayBuffer(electronic, notgradable, notgradable)
ArrayBuffer(enormous, notgradable, notgradable)
ArrayBuffer(environmental, notgradable, notgradable)
ArrayBuffer(equal, notgradable, notgradable)
ArrayBuffer(equivalent, notgradable, notgradable)
ArrayBuffer(essential, notgradable, notgradable)
ArrayBuffer(excellent, notgradable, notgradable)
ArrayBuffer(excess, notgradable, notgradable)
ArrayBuffer(exchange-rate, notgradable, notgradable)
ArrayBuffer(executive, notgradable, notgradable)
ArrayBuffer(experimental, notgradable, notgradable)
ArrayBuffer(extraordinary, notgradable, notgradable)
ArrayBuffer(false, notgradable, notgradable)
ArrayBuffer(favorite, notgradable, notgradable)
ArrayBuffer(federal, notgradable, notgradable)
ArrayBuffer(final, notgradable, notgradable)
ArrayBuffer(financial, notgradable, notgradable)
ArrayBuffer(first-quarter, notgradable, notgradable)
ArrayBuffer(five-year, notgradable, notgradable)
ArrayBuffer(fixed-rate, notgradable, notgradable)
ArrayBuffer(floating-rate, notgradable, notgradable)
ArrayBuffer(former, notgradable, notgradable)
ArrayBuffer(fourth-quarter, notgradable, notgradable)
ArrayBuffer(four-year, notgradable, notgradable)
ArrayBuffer(front, notgradable, notgradable)
ArrayBuffer(full-year, notgradable, notgradable)
ArrayBuffer(further, notgradable, notgradable)
ArrayBuffer(future, notgradable, notgradable)
ArrayBuffer(giant, notgradable, notgradable)
ArrayBuffer(global, notgradable, notgradable)
ArrayBuffer(gold, notgradable, notgradable)
ArrayBuffer(guilty, notgradable, notgradable)
ArrayBuffer(high-tech, notgradable, notgradable)
ArrayBuffer(historic, notgradable, notgradable)
ArrayBuffer(historical, notgradable, notgradable)
ArrayBuffer(hourly, notgradable, notgradable)
ArrayBuffer(huge, notgradable, notgradable)
ArrayBuffer(human, notgradable, notgradable)
ArrayBuffer(illegal, notgradable, notgradable)
ArrayBuffer(immediate, notgradable, notgradable)
ArrayBuffer(immune, notgradable, notgradable)
ArrayBuffer(impossible, notgradable, notgradable)
ArrayBuffer(improper, notgradable, notgradable)
ArrayBuffer(independent, notgradable, notgradable)
ArrayBuffer(individual, notgradable, notgradable)
ArrayBuffer(industrial, notgradable, notgradable)
ArrayBuffer(inevitable, notgradable, notgradable)
ArrayBuffer(inflationary, notgradable, notgradable)
ArrayBuffer(informal, notgradable, notgradable)
ArrayBuffer(initial, notgradable, notgradable)
ArrayBuffer(institutional, notgradable, notgradable)
ArrayBuffer(internal, notgradable, notgradable)
ArrayBuffer(international, notgradable, notgradable)
ArrayBuffer(interstate, notgradable, notgradable)
ArrayBuffer(joint, notgradable, notgradable)
ArrayBuffer(judicial, notgradable, notgradable)
ArrayBuffer(key, notgradable, notgradable)
ArrayBuffer(left, notgradable, notgradable)
ArrayBuffer(legal, notgradable, notgradable)
ArrayBuffer(legislative, notgradable, notgradable)
ArrayBuffer(like, notgradable, notgradable)
ArrayBuffer(long-distance, notgradable, notgradable)
ArrayBuffer(long-term, notgradable, notgradable)
ArrayBuffer(main, notgradable, notgradable)
ArrayBuffer(major, notgradable, notgradable)
ArrayBuffer(mandatory, notgradable, notgradable)
ArrayBuffer(maximum, notgradable, notgradable)
ArrayBuffer(medical, notgradable, notgradable)
ArrayBuffer(metric, notgradable, notgradable)
ArrayBuffer(middle, notgradable, notgradable)
ArrayBuffer(military, notgradable, notgradable)
ArrayBuffer(minimum, notgradable, notgradable)
ArrayBuffer(monetary, notgradable, notgradable)
ArrayBuffer(monthly, notgradable, notgradable)
ArrayBuffer(moral, notgradable, notgradable)
ArrayBuffer(mortgage-backed, notgradable, notgradable)
ArrayBuffer(municipal, notgradable, notgradable)
ArrayBuffer(mutual, notgradable, notgradable)
ArrayBuffer(national, notgradable, notgradable)
ArrayBuffer(nationwide, notgradable, notgradable)
ArrayBuffer(nearby, notgradable, notgradable)
ArrayBuffer(necessary, notgradable, notgradable)
ArrayBuffer(net, notgradable, notgradable)
ArrayBuffer(nonprofit, notgradable, notgradable)
ArrayBuffer(normal, notgradable, notgradable)
ArrayBuffer(northern, notgradable, notgradable)
ArrayBuffer(nuclear, notgradable, notgradable)
ArrayBuffer(official, notgradable, notgradable)
ArrayBuffer(offshore, notgradable, notgradable)
ArrayBuffer(one-time, notgradable, notgradable)
ArrayBuffer(one-year, notgradable, notgradable)
ArrayBuffer(only, notgradable, notgradable)
ArrayBuffer(open, gradable, notgradable)
ArrayBuffer(operating, gradable, notgradable)
ArrayBuffer(original, notgradable, notgradable)
ArrayBuffer(other, notgradable, notgradable)
ArrayBuffer(outside, notgradable, notgradable)
ArrayBuffer(outstanding, notgradable, notgradable)
ArrayBuffer(overall, notgradable, notgradable)
ArrayBuffer(overseas, notgradable, notgradable)
ArrayBuffer(over-the-counter, notgradable, notgradable)
ArrayBuffer(own, notgradable, notgradable)
ArrayBuffer(past, notgradable, notgradable)
ArrayBuffer(payable, notgradable, notgradable)
ArrayBuffer(perfect, notgradable, notgradable)
ArrayBuffer(permanent, notgradable, notgradable)
ArrayBuffer(pharmaceutical, notgradable, notgradable)
ArrayBuffer(plastic, notgradable, notgradable)
ArrayBuffer(possible, notgradable, notgradable)
ArrayBuffer(potential, notgradable, notgradable)
ArrayBuffer(preferred, notgradable, notgradable)
ArrayBuffer(preliminary, notgradable, notgradable)
ArrayBuffer(present, gradable, notgradable)
ArrayBuffer(presidential, notgradable, notgradable)
ArrayBuffer(pre-tax, notgradable, notgradable)
ArrayBuffer(previous, notgradable, notgradable)
ArrayBuffer(primary, notgradable, notgradable)
ArrayBuffer(prime, notgradable, notgradable)
ArrayBuffer(principal, notgradable, notgradable)
ArrayBuffer(prior, notgradable, notgradable)
ArrayBuffer(private, notgradable, notgradable)
ArrayBuffer(proper, notgradable, notgradable)
ArrayBuffer(prospective, notgradable, notgradable)
ArrayBuffer(public, notgradable, notgradable)
ArrayBuffer(punitive, notgradable, notgradable)
ArrayBuffer(quarterly, notgradable, notgradable)
ArrayBuffer(raw, notgradable, notgradable)
ArrayBuffer(ready, notgradable, notgradable)
ArrayBuffer(real, notgradable, notgradable)
ArrayBuffer(real-estate, notgradable, notgradable)
ArrayBuffer(red, notgradable, notgradable)
ArrayBuffer(regional, notgradable, notgradable)
ArrayBuffer(regular, notgradable, notgradable)
ArrayBuffer(regulatory, notgradable, notgradable)
ArrayBuffer(relative, notgradable, notgradable)
ArrayBuffer(residential, notgradable, notgradable)
ArrayBuffer(retail, notgradable, notgradable)
ArrayBuffer(right, gradable, notgradable)
ArrayBuffer(rival, notgradable, notgradable)
ArrayBuffer(scientific, notgradable, notgradable)
ArrayBuffer(seasonal, notgradable, notgradable)
ArrayBuffer(secondary, notgradable, notgradable)
ArrayBuffer(second-largest, notgradable, notgradable)
ArrayBuffer(second-quarter, notgradable, notgradable)
ArrayBuffer(secret, notgradable, notgradable)
ArrayBuffer(senior, notgradable, notgradable)
ArrayBuffer(separate, notgradable, notgradable)
ArrayBuffer(sexual, notgradable, notgradable)
ArrayBuffer(similar, notgradable, notgradable)
ArrayBuffer(single, notgradable, notgradable)
ArrayBuffer(six-month, notgradable, notgradable)
ArrayBuffer(sizable, notgradable, notgradable)
ArrayBuffer(so-called, notgradable, notgradable)
ArrayBuffer(social, notgradable, notgradable)
ArrayBuffer(sole, notgradable, notgradable)
ArrayBuffer(southern, notgradable, notgradable)
ArrayBuffer(special, notgradable, notgradable)
ArrayBuffer(square, notgradable, notgradable)
ArrayBuffer(standard, notgradable, notgradable)
ArrayBuffer(state-owned, notgradable, notgradable)
ArrayBuffer(strategic, notgradable, notgradable)
ArrayBuffer(subject, gradable, notgradable)
ArrayBuffer(subsequent, notgradable, notgradable)
ArrayBuffer(subsidiary, notgradable, notgradable)
ArrayBuffer(sudden, notgradable, notgradable)
ArrayBuffer(sufficient, notgradable, notgradable)
ArrayBuffer(taxable, notgradable, notgradable)
ArrayBuffer(tax-exempt, notgradable, notgradable)
ArrayBuffer(technological, notgradable, notgradable)
ArrayBuffer(temporary, notgradable, notgradable)
ArrayBuffer(third-quarter, notgradable, notgradable)
ArrayBuffer(three-month, notgradable, notgradable)
ArrayBuffer(three-year, notgradable, notgradable)
ArrayBuffer(top, notgradable, notgradable)
ArrayBuffer(total, notgradable, notgradable)
ArrayBuffer(tremendous, notgradable, notgradable)
ArrayBuffer(true, gradable, notgradable)
ArrayBuffer(two-year, notgradable, notgradable)
ArrayBuffer(ultimate, notgradable, notgradable)
ArrayBuffer(unable, notgradable, notgradable)
ArrayBuffer(unchanged, notgradable, notgradable)
ArrayBuffer(unexpected, notgradable, notgradable)
ArrayBuffer(unique, gradable, notgradable)
ArrayBuffer(unprecedented, notgradable, notgradable)
ArrayBuffer(unsecured, notgradable, notgradable)
ArrayBuffer(unsolicited, notgradable, notgradable)
ArrayBuffer(unsuccessful, notgradable, notgradable)
ArrayBuffer(upper, notgradable, notgradable)
ArrayBuffer(urban, notgradable, notgradable)
ArrayBuffer(usual, notgradable, notgradable)
ArrayBuffer(various, notgradable, notgradable)
ArrayBuffer(vast, notgradable, notgradable)
ArrayBuffer(voluntary, notgradable, notgradable)
ArrayBuffer(weekly, notgradable, notgradable)
ArrayBuffer(western, notgradable, notgradable)
ArrayBuffer(white, notgradable, notgradable)
ArrayBuffer(whole, notgradable, notgradable)
ArrayBuffer(wholesale, notgradable, notgradable)
ArrayBuffer(world-wide, notgradable, notgradable)
ArrayBuffer(worth, notgradable, notgradable)
ArrayBuffer(wrong, gradable, notgradable)
